"Name","Organization","Homepage","Logo","Twitter","Crunchbase URL","Market Cap","Ticker","Funding","CNCF Member","CNCF Relation","License","Headquarters","Latest Tweet Date","Description","Crunchbase Description","Crunchbase Homepage","Crunchbase City","Crunchbase Region","Crunchbase Country","Crunchbase Twitter","Crunchbase Linkedin","Crunchbase Ticker","Crunchbase Kind","Crunchbase Min Employees","Crunchbase Max Employees","Landscape","Category","OSS","Github Repo","Github Stars","Github Description","Github Latest Commit Date","Github Latest Commit Link","Github Release Date","Github Release Link","Github Start Commit Date","Github Start Commit Link","Github Contributors Count","Github Contributors Link"
"The Update Framework (TUF)","Cloud Native Computing Foundation (CNCF)","https://theupdateframework.github.io/","http://localhost:3000/logos/the-update-framework-tuf.svg","https://twitter.com/cloudnativefdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,true,"incubating","Unknown License","San Francisco, California","2018-03-28T00:02:14.000Z","A framework for securing software update systems","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Provisioning / Secure Images","Provisioning",true,"https://github.com/theupdateframework/tuf",717,"A framework for securing software update systems",,"https://github.com/theupdateframework/tuf/commit/e8c63c2786297573f6d24f8d0752fe104d3a8cd7",,,"2013-01-31T18:54:15Z","/theupdateframework/tuf/commit/0fb43a5e36f40ae7fccd2128e5e0bbb401b3111a",34,"https://github.com/theupdateframework/tuf/graphs/contributors"
"Vitess","Cloud Native Computing Foundation (CNCF)","https://vitess.io/","http://localhost:3000/logos/vitess.svg","https://twitter.com/vitessio","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,true,"incubating","Apache-2.0","San Francisco, California","2018-03-27T13:10:06.000Z","Vitess is a database clustering system for horizontal scaling of MySQL.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"App Definition and Development / Database and Data Warehouse","App Definition and Development",true,"https://github.com/youtube/vitess",5747,"Vitess is a database clustering system for horizontal scaling of MySQL.",,"https://github.com/vitessio/vitess/commit/ae7e7f1d6fdba040e0748bf58a382af9a57fc2a8","2017-02-02T18:05:51Z","https://github.com/youtube/vitess/releases","2012-02-25T07:19:43Z","/youtube/vitess/commit/8d483dc19ef660938bae3564af95d48a8017275f",110,"https://github.com/youtube/vitess/graphs/contributors"
"Linkerd","Cloud Native Computing Foundation (CNCF)","https://linkerd.io/","http://localhost:3000/logos/linkerd.svg","https://twitter.com/linkerd","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,true,"sandbox","Apache-2.0","San Francisco, California","2018-03-20T17:47:02.000Z","Production-grade feature-rich service mesh for any platform","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Orchestration & Management / Service Management","Orchestration & Management",true,"https://github.com/linkerd/linkerd",3786,"Production-grade feature-rich service mesh for any platform",,"https://github.com/linkerd/linkerd/commit/019608d3cb8a061df03584ac82dc25196de13718",,,"2016-01-13T22:17:47Z","/linkerd/linkerd/commit/37e38f2a892d9354eea7305135aa6370612b02f2",67,"https://github.com/linkerd/linkerd/graphs/contributors"
"Rook","Cloud Native Computing Foundation (CNCF)","https://rook.io/","http://localhost:3000/logos/rook.svg","https://twitter.com/rook_io","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,true,"sandbox","Apache-2.0","San Francisco, California","2018-03-27T19:53:18.000Z","File, Block, and Object Storage Services for your Cloud-Native Environment","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Runtime / Cloud-Native Storage","Runtime",true,"https://github.com/rook/rook",2547,"File, Block, and Object Storage Services for your Cloud-Native Environment",,"https://github.com/rook/rook/commit/c8a386b9e3cdd98bda357065f2413b3e4dc76c49",,,"2016-07-08T22:44:29Z","/rook/rook/commit/31bd4e46f5e7f1fcc38c4dc6ffe81e7a8d666458",58,"https://github.com/rook/rook/graphs/contributors"
"3Scale","Red Hat","https://www.3scale.net/","http://localhost:3000/logos/3-scale.svg","https://twitter.com/3scale","https://www.crunchbase.com/organization/red-hat",27332958208,"RHT",,true,"member","Apache-2.0","Raleigh, North Carolina","2018-02-06T18:28:11.000Z","3scale api gateway reloaded","Red Hat is a multinational software company engaged in providing open-source software products to the enterprise community.","http://www.redhat.com","Raleigh","North Carolina","United States","http://twitter.com/redhatnews","http://www.linkedin.com/company/red-hat","RHT","market_cap",5001,10000,"Orchestration & Management / Service Management","Orchestration & Management",true,"https://github.com/3scale/apicast",78,"3scale api gateway reloaded",,"https://github.com/3scale/apicast/commit/0d90052550e426edb7824d2c9aba5c33df205450","2018-03-20T14:41:52Z","https://github.com/3scale/apicast/releases","2016-03-15T18:20:48Z","/3scale/apicast/commit/e0470f8c0d482e271bbb52611e583707a7ae618d",19,"https://github.com/3scale/apicast/graphs/contributors"
"Accenture (KCSP)","Accenture","https://www.accenture.com/us-en/service-application-containers","http://localhost:3000/logos/accenture.svg","http://twitter.com/accenture","https://www.crunchbase.com/organization/accenture",95729926144,"ACN",,true,"member","NotOpenSource","Dublin, Ireland","2018-03-27T13:33:57.000Z","Architecture, implementation and operation of world-class Kubernetes solutions for cloud-native clients.","Accenture is a global management consulting firm that offers a range of services & solutions in strategy, consulting, tech and operations. ","http://www.accenture.com","Dublin","Dublin","Ireland","http://twitter.com/accenture","http://www.linkedin.com/company/accenture","ACN","market_cap",10001,1000000,"Special / Kubernetes Certified Service Provider","Special",false,,,,,"",,,,,,
"Alauda (KCSP)","Alauda","http://www.alauda.io/","http://localhost:3000/logos/alauda-ee.svg",,"https://www.crunchbase.com/organization/alauda",,,15000000,true,"member","NotOpenSource","Haidian, China",,"Alauda provides Kubernetes-Centric Enterprise Platform-as-a-Service offerings with a razor focus on delivering Cloud Native capabilities and DevOps best practices to enterprise customers across industries in China.","Alauda is a pioneer cloud platform provider that focuses on containers and microservices.","http://www.alauda.cn/","Haidian","Beijing","China",,,,"funding",11,50,"Special / Kubernetes Certified Service Provider","Special",false,,,,,"",,,,,,
"Alauda EE","Alauda","http://www.alauda.cn/product/detail/id/144.html","http://localhost:3000/logos/alauda-ee.svg",,"https://www.crunchbase.com/organization/alauda",,,15000000,true,"member","NotOpenSource","Haidian, China",,"Alauda is a pioneer cloud platform provider that focuses on containers and microservices.","Alauda is a pioneer cloud platform provider that focuses on containers and microservices.","http://www.alauda.cn/","Haidian","Beijing","China",,,,"funding",11,50,"Platform / Certified Kubernetes - Platform","Platform",false,,,,,"",,,,,,
"Alibaba Cloud","Alibaba Cloud","https://www.alibabacloud.com/","http://localhost:3000/logos/alibaba-cloud.svg","https://twitter.com/alibaba_cloud","https://www.crunchbase.com/organization/alibaba-cloud",467362709504,"BABA",,true,"member","NotOpenSource","Hangzhou, China","2018-03-27T19:13:55.000Z","Alibaba Cloud develops highly scalable cloud computing and data management services.","Alibaba Cloud develops highly scalable cloud computing and data management services.","https://www.alibabacloud.com/","Hangzhou","Zhejiang","China","https://twitter.com/alibaba_cloud","https://www.linkedin.com/company/alibaba-cloud-computing-company","BABA","market_cap",,,"Cloud / Public","Cloud",false,,,,,"",,,,,,
"Alibaba Cloud Container Service","Alibaba Cloud","https://www.alibabacloud.com/product/container-service?spm=a3c0i.7911826.709257.dproducta4.1010a3feFbGgBW","http://localhost:3000/logos/alibaba-cloud.svg","https://twitter.com/alibaba_cloud","https://www.crunchbase.com/organization/alibaba-cloud",467362709504,"BABA",,true,"member","NotOpenSource","Hangzhou, China","2018-03-27T19:13:55.000Z","Container Services Provides high-performance, scalable container application management services that enable lifecycle management of containerized applications with Docker and Kubernetes, multiple application deployment methods and continuous delivery capabilities, and support for microservices architecture.","Alibaba Cloud develops highly scalable cloud computing and data management services.","https://www.alibabacloud.com/","Hangzhou","Zhejiang","China","https://twitter.com/alibaba_cloud","https://www.linkedin.com/company/alibaba-cloud-computing-company","BABA","market_cap",,,"Platform / Certified Kubernetes - Platform","Platform",false,,,,,"",,,,,,
